Day,Angle (deg),X,Y
65,63.2967032967033,39.131636575749056,77.79344765348671
66,64.28571428571429,37.48293331939917,77.83411304402658
67,65.27472527472528,35.84403406950291,77.84005275553073
68,66.26373626373626,34.21570349954059,77.81170064131342
69,67.25274725274726,32.598690176313255,77.74950580347
70,68.24175824175825,30.99372641845801,77.65393220735407
71,69.23076923076923,29.40152815531954,77.52545830452331
72,70.21978021978022,27.822794785444216,77.36457666352489
73,71.20879120879121,26.258209034017288,77.17179360786717
74,72.1978021978022,24.708436808616735,76.94762886050596
75,73.1868131868132,23.17412705270964,76.69261519415144
76,74.17582417582418,21.655911596367773,76.40729808668803
77,75.16483516483517,20.15440500372853,76.09223538098084
78,76.15384615384616,18.670204416776965,75.74799694832936
79,77.14285714285714,17.203889395071624,75.37516435481527
80,78.13186813186813,15.756021751085786,74.97433052977897
81,79.12087912087912,14.327145380881268,74.54609943564763
82,80.10989010989012,12.917786089879144,74.09108573832806
83,81.09890109890111,11.528451413537827,73.60991447736708
84,82.08791208791209,10.159630432795085,73.10322073507363
85,83.07692307692308,8.811793584176378,72.5716493037885
86,84.06593406593407,7.485392464519082,72.01585435047947
87,85.05494505494505,6.180859630307894,71.43649907783411
88,86.04395604395604,4.89860839166454,70.83425538101406
89,87.03296703296704,3.6390326010828136,70.20980349923083
90,88.02197802197803,2.4025064370483378,69.56383166129724
91,89.01098901098902,1.189384182732358,68.89703572430474
92,90.0,4.176665183174046e-15,68.21011880457293
93,90.98901098901099,-1.165332300974871,67.50379090001596
94,91.97802197802199,-2.3063194961418967,66.77876850306782
95,92.96703296703296,-3.4226891856522337,66.03577420330909
96,93.95604395604396,-4.514190035124041,65.27553627893738
97,94.94505494505495,-5.580592019577363,64.49878827622696
98,95.93406593406594,-6.62168666946024,63.706268576125645
99,96.92307692307693,-7.637287318123644,62.89871994714282
100,97.91208791208791,-8.627229350037611,62.0768890836903
101,98.9010989010989,-9.591370448972551,61.24152612904597
102,99.8901098901099,-10.52959084529904,60.39338418212374
103,100.87912087912088,-11.441793561485937,59.533218787245914
104,101.86813186813187,-12.327904654800571,58.66178740613411
105,102.85714285714286,-13.187873456135588,57.77984887135388
106,103.84615384615385,-14.021672803805648,56.88816282047405
107,104.83516483516485,-14.829299271072024,55.98748911023011
108,105.82417582417582,-15.610773386066393,55.07858721001473
109,106.81318681318682,-16.366139842694388,54.16221557405635
110,107.80219780219781,-17.095467701007085,53.23913099169075
111,108.79120879120879,-17.79885057543349,52.31008791518011
112,109.78021978021978,-18.4764068091693,51.37583776458959
113,110.76923076923077,-19.12827963291824,50.43712820929561
114,111.75824175824177,-19.754637306080813,49.494702425768764
115,112.74725274725276,-20.355673238383375,48.54929833135448
116,113.73626373626374,-20.931606089837384,47.601647793861346
117,114.72527472527473,-21.48267984681549,46.65247581686287
118,115.71428571428572,-22.009163871928394,45.70249970072617
119,116.7032967032967,-22.51135292528624,44.752428179497876
120,117.6923076923077,-22.98956715462778,43.8029605339049
121,118.68131868131869,-23.444152051706677,42.85478568086942
122,119.67032967032968,-23.87547837223244,41.908581240088104
123,120.65934065934067,-24.283942016578838,40.96501257839202
124,121.64835164835165,-24.669963868394436,40.02473183278152
125,122.63736263736264,-25.033989588182475,39.08837691322258
126,123.62637362637363,-25.37648935885807,38.15657048649776
127,124.61538461538461,-25.69795758024735,37.229918942624
128,125.6043956043956,-25.998912509462397,36.30901134558552
129,126.5934065934066,-26.27989584407371,35.39441837037678
130,127.58241758241759,-26.541472245010056,34.48669122861399
131,128.57142857142858,-26.784228796144188,33.58636058524806
132,129.56043956043956,-27.008774397579497,32.693935469199474
133,130.54945054945057,-27.21573908973534,31.80990218103475
134,131.53846153846155,-27.405773305442853,30.934723201112035
135,132.52747252747253,-27.57954704741227,30.06883610193974
136,133.51648351648353,-27.737748988617028,29.212652468814706
137,134.5054945054945,-27.881085493365763,28.366556833131195
138,135.4945054945055,-28.01027955710037,27.530905623077214
139,136.4835164835165,-28.126069663270965,26.706026136757046
140,137.47252747252747,-28.22920855599782,25.89221554309284
141,138.46153846153845,-28.320461927639897,25.08973991616074
142,139.45054945054946,-28.400607020846877,24.298833308902992
143,140.43956043956044,-28.470431145183067,23.519696872421154
144,141.42857142857144,-28.530730108970648,22.752498027290045
145,142.41758241758242,-28.582306567611024,21.997369693535102
146,143.4065934065934,-28.625968290301923,21.254409586075177
147,144.3956043956044,-28.66252634777141,20.52367958254723
148,145.3846153846154,-28.692793224395825,19.80520517048872
149,146.3736263736264,-28.71758085884969,19.098974980852223
150,147.36263736263737,-28.737698618248096,18.40494041476016
151,148.35164835164835,-28.753951211572346,17.723015370263617
152,149.34065934065936,-28.76713654901829,17.053076075652125
153,150.32967032967034,-28.778043554753125,16.39496103555584
154,151.3186813186813,-28.787449941405217,15.748471095690844
155,152.30769230769232,-28.796119955429027,15.113369631617367
156,153.2967032967033,-28.80480210326816,14.48938286630803
157,154.28571428571428,-28.814226868972213,13.876200320658949
158,155.27472527472528,-28.82510443458952,13.273475400323315
159,156.26373626373626,-28.838122415247067,12.680826121408028
160,157.25274725274727,-28.85394362132378,12.09783597665471
161,158.24175824175825,-28.87320386050998,11.524054942735578
162,159.23076923076923,-28.896509792812687,10.959000628239796
163,160.21978021978023,-28.92443685170148,10.402159560821982
164,161.2087912087912,-28.957527244581595,9.852988610840836
165,162.19780219780222,-28.99628804562365,9.310916547650315
166,163.1868131868132,-29.041189393669324,8.77534572353479
167,164.17582417582418,-29.09266280746257,8.245653879116967
168,165.16483516483518,-29.15109962983143,7.721196062936454
169,166.15384615384616,-29.21684961166945,7.201306656810946
170,167.14285714285714,-29.29021964564233,6.685301497572035
171,168.13186813186815,-29.37147265848834,6.1724800848305446
172,169.12087912087912,-29.46082666960291,5.662127863587503
173,170.1098901098901,-29.558454022310286,5.1535185697813075
174,171.0989010989011,-29.66448079285565,4.645916626263894
175,172.0879120879121,-29.77898638070927,4.138579576235959
176,173.0769230769231,-29.9020032822908,3.6307605408542796
177,174.06593406593407,-30.03351704871408,3.12171068755713
178,175.05494505494505,-30.17346642664987,2.6106816956375525
179,176.04395604395606,-30.3217436799184,2.0969282057302574
180,177.03296703296704,-30.478195087994234,1.5797102401602405
181,178.02197802197804,-30.64262161623445,1.058295581524133
182,179.01098901098902,-30.81477975136595,0.5319620974306581
183,180.0,-30.994382494588955,3.795717131354712e-15
184,180.989010989011,-31.181100503599392,-0.5382859704962132
185,181.97802197802199,-31.374563373904646,-1.0835744476008262
186,182.96703296703296,-31.57436104902234,-1.6365254350414185
187,183.95604395604397,-31.780045348506732,-2.1977784052968556
188,184.94505494505495,-31.991131602254143,-2.767950507104202
189,185.93406593406593,-32.20710037919023,-3.3476348875779904
190,186.92307692307693,-32.427399298237326,-3.9373991335321223
191,187.9120879120879,-32.651444909396,-4.537783835522246
192,188.90109890109892,-32.87862463284004,-5.149301277074424
193,189.8901098901099,-33.10829874411108,-5.772434250548377
